FIFA Rank,Team,FIFA Points
1,Argentina,1877.27
2,Espańa,1874.71
3,Francia,1870.7
4,Inglaterra,1827.05
5,Portugal,1766.18
6,Brasil,1765.86
7,Marruecos,1755.1
8,Países Bajos,1753.57
9,Bélgica,1742.24
10,Alemania,1735.77
11,Croacia,1714.87
12,Italia,1704.73
13,Colombia,1698.35
14,México,1687.48
15,Senegal,1684.07
16,Uruguay,1673.07
17,EEUU,1671.23
18,Japón,1661.58
19,Suiza,1650.06
20,RI de Irán,1619.58
21,Dinamarca,1619.47
22,Turquía,1605.73
23,Ecuador,1598.52
24,Austria,1597.4
25,República de Corea,1591.63
26,Nigeria,1586.69
27,Australia,1579.34
28,Argelia,1571.03
29,Egipto,1562.37
30,Canadá,1559.48
31,Noruega,1557.44
32,Ucrania,1549.29
33,Costa de Marfil,1540.87
34,Panamá,1539.16
35,Rusia,1529.6
36,Polonia,1526.18
37,Gales,1516.95
38,Suecia,1509.79
39,Hungría,1506.39
40,República Checa,1505.74
41,Paraguay,1505.35
42,Escocia,1503.34
43,Serbia,1502.13
44,Camerún,1481.24
45,Túnez,1476.41
46,RD del Congo,1474.43
47,Eslovaquia,1473.66
48,Grecia,1473.19
49,Venezuela,1469.18
50,Uzbekistán,1458.73
51,Chile,1458.2
52,Perú,1457.69
53,Costa Rica,1457
54,Rumanía,1455.89
55,Mali,1455.59
56,Qatar,1450.31
57,Irak,1446.28
58,República de Irlanda,1441.1
59,Eslovenia,1441.09
60,Sudáfrica,1428.38
61,Arabia Saudí,1423.88
62,Burkina Faso,1406.99
63,Jordania,1387.74
64,Bosnia y Herzegovina,1387.22
65,Honduras,1378.97
66,Albania,1376.03
67,Cabo Verde,1371.11
68,Emiratos Árabes Unidos,1370.47
69,Macedonia del Norte,1369.16
70,Irlanda del Norte,1365.3
71,Jamaica,1357.84
72,Georgia,1355.26
73,Ghana,1346.88
74,Islandia,1342.77
75,Finlandia,1341.92
76,Israel,1333.9
77,Bolivia,1326
78,Kosovo,1319.12
79,Omán,1306.9
80,Montenegro,1301.98
81,Guinea,1295.6
82,Curazao,1294.77
83,Haití,1293.1
84,Siria,1283.05
85,Nueva Zelanda,1275.58
86,Gabón,1272.51
87,Bulgaria,1271.68
88,Angola,1265.58
89,Uganda,1264.09
90,Zambia,1255.82
91,RP China,1254.81
92,Baréin,1254.41
93,Benín,1252.17
94,Tailandia,1250.8
95,Palestina,1243.71
96,Bielorrusia,1242.88
97,Guatemala,1238.74
98,Luxemburgo,1232.82
99,Vietnam,1225.68
100,El Salvador,1225.34
101,Tayikistán,1224.19
102,Trinidad y Tobago,1219.59
103,Mozambique,1218.62
104,Madagascar,1202.69
105,Guinea Ecuatorial,1195.2
106,República Kirguisa,1192.16
107,Armenia,1189.63
108,Comoras,1187.91
109,Kenia,1185.08
110,Libia,1182.08
111,Kazajstán,1180.78
112,Tanzania,1180.27
113,Mauritania,1176.68
114,Níger,1175.33
115,Líbano,1172.22
116,Gambia,1159.64
117,Sudán,1157.22
118,Indonesia,1157.14
119,Togo,1152.76
120,RDP de Corea,1151.05
121,Namibia,1148.84
122,Sierra Leona,1147.56
123,Islas Feroe,1136.59
124,Chipre,1133.25
125,Surinam,1132.43
126,Azerbaiyán,1132
127,Estonia,1130.64
128,Ruanda,1126.62
129,Malaui,1122.05
130,Zimbabue,1119.78
131,Nicaragua,1114.63
132,Guinea-Bissáu,1108.38
133,Kuwait,1106.47
134,Congo,1105.96
135,Filipinas,1100.95
136,Malasia,1086.22
137,Letonia,1085.66
138,India,1084.93
139,República Centroafricana,1080.82
140,Liberia,1080.44
141,Turkmenistán,1078.65
142,Burundi,1078.01
143,Etiopía,1077.52
144,República Dominicana,1076.5
145,Yemen,1065.24
146,Lesoto,1064.29
147,Botsuana,1063.63
148,Singapur,1057.95
149,Lituania,1056.85
150,Guyana,1049.32
151,Nueva Caledonia,1036.95
152,San Cristóbal y Nieves,1036.33
153,Islas Salomón,1031.89
154,Puerto Rico,1024.3
155,Fiyi,1024.17
156,"Hong Kong, China",1024.16
157,Tahití,1019.04
158,Myanmar,1010.91
159,Moldavia,1008.24
160,Vanuatu,1002.53
161,Malta,992.79
162,Antigua y Barbuda,986.58
163,Granada,981.82
164,Cuba,981.42
165,Esuatini,979.01
166,Santa Lucía,976.71
167,Bermudas,975.05
168,Papúa Nueva Guinea,974.9
169,Afganistán,971.2
170,Sudán del Sur,970.94
171,San Vicente y las Granadinas,968.27
172,Andorra,946.43
173,Maldivas,943.92
174,Chinese Taipei,923.78
175,Camboya,922.32
176,Montserrat,916.75
177,Nepal,914.54
178,Mauricio,911.49
179,Barbados,909.89
180,Belice,907
181,Bangladesh,902.93
182,Dominica,897.69
183,Chad,896.85
184,Eritrea,887.06
185,Laos,885.03
186,Islas Cook,877.53
187,Sri Lanka,876.86
188,Samoa,876.41
189,Aruba,875.61
190,Mongolia,874.47
191,Samoa Estadounidense,871.61
192,Bután,870.81
193,Macao,858.03
194,Brunéi Darussalam,857.73
195,Santo Tomé y Príncipe,855.44
196,Yibuti,853.58
197,Islas Caimán,850.06
198,Somalia,839.17
199,Pakistán,837.15
200,Tonga,835.64
201,Timor Oriental,831
202,Gibraltar,820.26
203,Guam,819.54
204,Seychelles,804.16
205,Turcas y Caicos,803.98
206,Liechtenstein,797.7
207,Bahamas,786.82
208,Islas Vírgenes Estadounidenses,779.76
209,Islas Vírgenes Británicas,777.41
210,Anguila,760.25
211,San Marino,721.2
